Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
Cheloor The Eyrie,Cheloor Property Development Projects Ltd,Residential (Apartment),2017-08-01,2024-06-30,K-RERA/PRJ/110/2020,2021-04-17,53,34,Completed,Thrissur,AYYANTHOLE,Thrissur
VFIVE PEARL,VFIVE HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2020-02-01,2025-03-31,K-RERA/PRJ/072/2020,2021-09-08,42,28,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
ASSET CHAMBER,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2021-06-15,2025-06-30,K-RERA/PRJ/KNR/010/2021,2021-05-05,82,82,Inprogress,Kannur,ELAYAVOOR,Kannur
VATIKA VILLAS,OMG PROPERTIES,Villas (Plots & Buildings),2018-06-07,2022-12-07,K-RERA/PRJ/303/2020,2021-05-05,8,5,Completed,Palakkad,OTTAPALAM I,Ottappalam
Adonai Majesty,Adonai Shelters Pvt Ltd,Residential (Apartment),2019-10-10,2023-01-24,K-RERA/PRJ/311/2020,2021-09-01,15,11,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
SKYLINE HAZEL,M/s Skyline Builders,Residential (Apartment),2021-03-01,2026-03-31,K-RERA/PRJ/034/2021,2021-04-15,60,42,Completed,Kottayam,VIJAYAPURAM,Kottayam
ROME BY SREE DHANYA,Sree Dhanya Homes Pvt ltd,Residential (Apartment),2021-11-01,2026-12-01,K-RERA/PRJ/TVM/068/2021,2021-11-12,42,38,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
SILVER SPRING,PNR HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2019-08-02,2022-12-26,K-RERA/PRJ/TVM/033/2021,2021-08-04,5,4,Completed,Thiruvananthapuram,KADINAMKULAM,THIRUVANANTHAPRUAM
DD PAVILION,SEA WIND REALTORS INDIA PRIVATE LIMITED,Residential (Apartment),2019-01-01,2024-12-30,K-RERA/PRJ/131/2020,2021-05-06,122,81,Completed,Thiruvananthapuram,VEILOOR,THIRUVANANTHAPRUAM
Sun and Sands,NEW CHALAI AGENCIES,Residential (Apartment),2018-08-31,2022-04-30,K-RERA/PRJ/149/2021,2022-03-04,28,0,Completed,Thiruvananthapuram,THIRUVALLAM,THIRUVANANTHAPRUAM
ARTECH GATEWAY,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2015-07-20,2020-02-05,K-RERA/PRJ/258/2020,2021-05-05,96,43,Completed,Thrissur,THRISSUR,Thrissur
SREEROSH SEA BREEZE,SREEROSH DEVELOPERS PVT LTD,Residential (Apartment),2019-07-22,2023-07-31,K-RERA/PRJ/045/2020,2021-05-06,69,50,Completed,Kannur,Thiruvangad,Thalassery
VARMA PADIPURA,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2017-09-01,2021-09-30,K-RERA/PRJ/045/2021,2021-06-02,31,31,Completed,Ernakulam,ERNAKULAM,Kanayannur
PTC WESTERN GHATS,PTC BUILDERS,Residential (Apartment),2013-08-29,2015-08-28,K-RERA/PRJ/011/2021,2021-07-29,65,42,Completed,Pathanamthitta,PATHANAMTHITTA,Kozhenchery
VARMA DR PAIS HERITAGE,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2017-12-28,2021-12-30,K-RERA/PRJ/362/2020,2021-05-31,60,50,Completed,Thiruvananthapuram,THIRUMALA,THIRUVANANTHAPRUAM
MIRTH FOLIAGE,TRIWORLD DEVELOPERS,Plots,2018-11-19,2024-06-30,K-RERA/PRJ/087/2021,2021-06-07,,44,Inprogress,Idukki,POOPPARA,UDUMBANCHOLA
RED ORCHID,Malabar Developers Private Limited,Residential (Apartment),2016-12-01,2024-12-31,K-RERA/PRJ/164/2020,2021-08-05,147,70,Completed,Thiruvananthapuram,MALAYINKEEZH,KATTAKADA
CLOUDBERRY,Malabar Developers Private Limited,Residential (Apartment),2017-08-05,2027-02-28,K-RERA/PRJ/208/2020,2021-07-20,58,0,Completed,Kozhikode,PERUVAYAL,Kozhikode
ROYAL MULBERRY,Malabar Developers Private Limited,Residential (Apartment),2017-04-24,2022-12-31,K-RERA/PRJ/355/2020,2021-07-20,43,43,Completed,Kozhikode,PERUVAYAL,Kozhikode
BAMBOO PARK II,Malabar Developers Private Limited,Residential (Apartment),2018-11-15,2023-12-31,K-RERA/PRJ/046/2021,2021-08-02,49,0,Completed,Kozhikode,PERUVAYAL,Kozhikode
THE CORNICHE,HEATHER CONSTRUCTIONS,Residential (Apartment),2016-11-21,2021-07-17,K-RERA/PRJ/314/2020,2021-07-10,68,64,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
ORCHID SPRINGS,Malabar Developers Private Limited,Plots,2019-05-01,2024-12-30,K-RERA/PRJ/063/2021,2021-12-14,,13,Completed,Thiruvananthapuram,MALAYINKEEZH,KATTAKADA
JKH SIGNATURE,NEST Realties India Private Limited,Residential (Apartment),2010-08-16,2022-12-30,K-RERA/PRJ/129/2021,2021-07-19,50,21,Inprogress,Ernakulam,KEEZHMAD,Aluva
PINK BY SREEDHANYA,Sree Dhanya Homes Pvt ltd,Residential (Apartment),2021-07-01,2026-12-31,K-RERA/PRJ/TVM/029/2021,2021-07-07,99,89,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
KALPAKA PARKSIDE,Kalpaka Builders Pvt Ltd,Residential (Apartment),2018-01-09,2021-12-31,K-RERA/PRJ/ERN/026/2021,2021-06-29,10,4,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
CONFIDENT IRIS,Confident Projects Residential,Residential (Apartment),2017-01-06,2023-03-01,K-RERA/PRJ/025/2020,2021-07-08,88,64,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
Olive Celestina,OLIVE BUILDERS AND DEVELOPERS PVT LTD,Mixed (Commercial & Residential),2013-06-25,2021-09-30,K-RERA/PRJ/143/2021,2021-07-20,76,52,Completed,Kottayam,KOTTAYAM,Kottayam
Gokulam Akila,Gokulam Engineers India Private Limited,Residential (Apartment),2015-07-06,2022-04-30,K-RERA/PRJ/170/2021,2021-10-28,16,8,Inprogress,Thrissur,VELAPPAYA,Thrissur
ASSET ALPINE MAPLE,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2021-08-30,2025-07-30,K-RERA/PRJ/ERN/042/2021,2021-08-25,48,48,Completed,Ernakulam,VAZHAKKALA,Kanayannur
S.A. Square,S A Homes,Residential (Apartment),2019-09-30,2022-08-31,K-RERA/PRJ/051/2020,2021-08-04,40,40,Completed,Palakkad,PALAKKAD-2,Palakkad
CHAKOLAS LAKESIDE,CHAKOLAS HOMES PVT LTD,Residential (Apartment),2009-09-17,2014-04-15,K-RERA/PRJ/014/2021,2021-06-30,39,37,Inprogress,Ernakulam,EDAKOCHI,Kochi
SOWPARNIKA JAZZMYNA,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2019-01-15,2024-12-31,K-RERA/PRJ/340/2020,2021-06-11,76,75,Completed,Kozhikode,KUNNAMANGALAM,Kozhikode
CONFIDENT EXOTICA,Confident Projects India Pvt Ltd,Residential (Apartment),2016-11-30,2022-11-30,K-RERA/PRJ/141/2020,2021-06-21,135,82,Completed,Kozhikode,KOTTOOLI,Kozhikode
VKL SANTHI HOMES,VKL BUILDERS INDIA PRIVATE LIMITED,Residential (Apartment),2015-07-15,2020-01-20,K-RERA/PRJ/291/2020,2021-05-27,75,0,Completed,Thiruvananthapuram,KOLIYACODE,Nedumangad
RAINWOODS,MERITRA HOMES PVT LTD,Residential (Apartment),2017-03-01,2023-04-24,K-RERA/PRJ/145/2021,2021-07-05,74,74,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
HI-LIFE GRATIA APARTMENTS,HiLife Builders Pvt Ltd,Residential (Apartment),2018-04-13,2023-06-30,K-RERA/PRJ/080/2020,2021-07-15,50,49,Completed,Thrissur,VIYYUR,Thrissur
SIDDHI SREEKALA,SIDDHI HOMES,Mixed (Commercial & Residential),2018-05-04,2021-11-30,K-RERA/PRJ/283/2020,2021-07-15,32,32,Completed,Ernakulam,NADAMA,Kanayannur
THE GRAND AVENUE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2019-01-24,2022-03-31,K-RERA/PRJ/020/2020,2021-07-05,24,24,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
SREE MADHAVAM,ASWATHY CONSTRUCTIONS,Residential (Apartment),2019-11-05,2022-08-25,K-RERA/PRJ/339/2020,2021-07-28,10,0,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
